0,0
3.3333,2.1875
6.6667,4.25
10,6.875
13.333,9
16.667,11.875
20,14
23.333,17.062
26.667,19.938
30,22.75
33.333,26.5
36.667,29.75
40,33.75
43.333,37.812
46.667,43.25
50,50.125
53.333,56.625
56.667,62.062
60,66.062
63.333,70.188
66.667,73.562
70,77
73.333,79.938
76.667,82.938
80,85.875
83.333,88.125
86.667,90.812
90,93.125
93.333,95.688
96.667,97.875
100,100
