289.057, 1.302e-2
290.993, 1.302e-2
290.998, 1.563e-2
292.939, 1.823e-2
292.944, 2.083e-2
292.949, 2.344e-2
292.954, 2.604e-2
294.894, 2.865e-2
294.899, 3.125e-2
294.904, 3.385e-2
294.909, 3.646e-2
294.914, 3.906e-2
296.855, 4.167e-2
296.86, 4.427e-2
296.865, 4.688e-2
298.805, 4.948e-2
298.81, 5.208e-2
298.816, 5.469e-2
298.821, 5.729e-2
300.761, 5.99e-2
300.766, 6.25e-2
300.771, 6.51e-2
300.776, 6.771e-2
300.781, 7.031e-2
302.722, 7.292e-2
302.727, 7.552e-2
302.732, 7.813e-2
302.737, 8.073e-2
304.677, 8.333e-2
304.682, 8.594e-2
306.623, 8.854e-2
306.628, 9.115e-2
306.633, 9.375e-2
306.638, 9.635e-2
306.643, 9.896e-2
308.584, 0.102
308.589, 0.104
308.594, 0.107
308.599, 0.109
308.604, 0.112
310.544, 0.115
310.549, 0.117
310.554, 0.12
310.559, 0.122
310.565, 0.125
310.57, 0.128
310.575, 0.13
310.58, 0.133
310.585, 0.135
310.59, 0.138
310.595, 0.141
312.535, 0.143
312.54, 0.146
312.545, 0.148
312.55, 0.151
312.555, 0.154
312.56, 0.156
312.566, 0.159
312.571, 0.161
312.576, 0.164
314.516, 0.167
314.521, 0.169
314.526, 0.172
314.531, 0.174
314.536, 0.177
316.477, 0.18
316.482, 0.182
316.487, 0.185
316.492, 0.188
316.497, 0.19
316.502, 0.193
316.507, 0.195
316.512, 0.198
316.517, 0.201
316.522, 0.203
318.463, 0.206
318.468, 0.208
318.473, 0.211
318.478, 0.214
318.483, 0.216
320.423, 0.219
320.428, 0.221
320.433, 0.224
320.439, 0.227
320.444, 0.229
320.449, 0.232
320.454, 0.234
322.394, 0.237
322.399, 0.24
322.404, 0.242
322.409, 0.245
322.414, 0.247
324.355, 0.25
324.36, 0.253
324.365, 0.255
326.305, 0.258
326.31, 0.26
328.251, 0.263
328.256, 0.266
328.261, 0.268
328.266, 0.271
330.207, 0.273
330.212, 0.276
330.217, 0.279
330.222, 0.281
332.162, 0.284
332.167, 0.286
332.172, 0.289
334.113, 0.292
334.118, 0.294
336.058, 0.297
336.064, 0.299
338.004, 0.302
338.009, 0.305
339.95, 0.307
339.955, 0.31
339.96, 0.313
339.965, 0.315
341.905, 0.318
341.91, 0.32
341.915, 0.323
343.856, 0.326
343.861, 0.328
343.866, 0.331
345.806, 0.333
345.811, 0.336
345.817, 0.339
347.757, 0.341
347.762, 0.344
347.767, 0.346
347.772, 0.349
347.777, 0.352
349.718, 0.354
349.723, 0.357
349.728, 0.359
349.733, 0.362
351.673, 0.365
351.678, 0.367
351.683, 0.37
351.689, 0.372
351.694, 0.375
351.699, 0.378
353.639, 0.38
353.644, 0.383
353.649, 0.385
353.654, 0.388
353.659, 0.391
353.664, 0.393
355.605, 0.396
355.61, 0.398
355.615, 0.401
355.62, 0.404
357.56, 0.406
357.566, 0.409
357.571, 0.411
357.576, 0.414
357.581, 0.417
359.521, 0.419
359.526, 0.422
359.531, 0.424
359.536, 0.427
361.477, 0.43
361.482, 0.432
361.487, 0.435
361.492, 0.438
363.432, 0.44
363.438, 0.443
363.443, 0.445
365.383, 0.448
365.388, 0.451
367.329, 0.453
367.334, 0.456
367.339, 0.458
367.344, 0.461
369.284, 0.464
369.289, 0.466
369.294, 0.469
369.299, 0.471
369.304, 0.474
369.309, 0.477
371.25, 0.479
371.255, 0.482
371.26, 0.484
371.265, 0.487
371.27, 0.49
371.275, 0.492
371.28, 0.495
373.221, 0.497
373.226, 0.5
373.231, 0.503
373.236, 0.505
375.176, 0.508
