0,0
5,3.375
10,6.875
15,10.312
20,14
25,18.75
30,22.75
35,28.125
40,33.75
45,40.438
50,50.125
55,59.688
60,66.062
65,71.812
70,77
75,81.438
80,85.875
85,89.625
90,93.125
95,96.625
100,100
